mean_diff,std_diff,max_diff,min_diff,peak_to_peak,rms_diff,skewness,kurtosis,mean_cm,std_cm,cm_deviation,std_voutp,std_voutn,mean_voutp,mean_voutn,output_asymmetry,mean_asymmetry,fundamental,harmonic2,harmonic3,thd,spectral_energy,high_freq_ratio,fault_id,fault_name
-0.035111587363184024,0.812236797674537,0.8557008999999999,-0.9308288,1.7865297,0.8129953499644075,-0.009995197189847533,-1.9447475116802542,0.9562204112769486,0.3638152551579958,0.056220411276948545,0.7696426322948647,0.04776600729809161,0.9386127538308457,0.9737243411940297,0.7218766249967731,0.03511158736318398,1634.0329841596972,0.32350669000733523,0.16175334500366761,0.01,3009747.4205120415,0.02,0,healthy
-0.03452387357047871,0.8124514739028658,0.8554908,-0.9305767999999999,1.7860676,0.8131846624803307,-0.011865149937743284,-1.9455917387566695,0.9565361003989361,0.3639369366677097,0.056536100398936084,0.769870656385023,0.0477536390951479,0.9392220557180851,0.9737459292885638,0.7221170172898751,0.0345238735704787,1630.0382282766589,0.32780801643766605,0.16390400821883302,0.01,2996995.68800774,0.02,0,healthy
-0.034488416323138295,0.8121986348235027,0.855347,-0.9305281000000001,1.7858751000000002,0.8129305463996538,-0.012103256557359878,-1.945104053796147,0.956619810837766,0.3638402358812477,0.056619810837766016,0.7696470560835397,0.047722909692672885,0.9393234722074466,0.9738118885305851,0.7219241463908668,0.03448841632313848,1629.7705481694618,0.3272605771734236,0.1636302885867118,0.01,2995115.1881365003,0.02,0,healthy
-0.034530369813829793,0.8125893113696695,0.8555845,-0.93059,1.7861745,0.8133226514684768,-0.01173261363206674,-1.9458575497919548,0.9564859422207447,0.36398938772132194,0.056485942220744656,0.7699921967737298,0.04777111221272077,0.9391686628989362,0.9736990327127658,0.722221084561009,0.03453036981382962,1630.1838633588268,0.3281126038507298,0.1640563019253649,0.01,2998013.091663132,0.02,0,healthy
-0.034610714760638324,0.8126565932277128,0.8555325,-0.9306798,1.7862122999999999,0.8133932874647506,-0.011684147878332041,-1.9459904460930462,0.9564931991688831,0.36401710417247907,0.05649319916888307,0.7700537021780889,0.04777497417572873,0.939135736768617,0.9737464515292553,0.7222787280023601,0.03461071476063837,1630.2508900421888,0.32828139404246576,0.16414069702123288,0.01,2998558.055840771,0.02,0,healthy
-0.034460200797872334,0.8122468773601976,0.8554162999999999,-0.9305066000000001,1.7859229,0.8129775490260612,-0.012057199135260214,-1.9451920596321286,0.9565804936170214,0.3638533453704726,0.05658049361702133,0.7696842353156601,0.04773466856603367,0.9392982794880319,0.9737584802859043,0.7219495667496264,0.034460200797872376,1629.8255479452375,0.3273533031962739,0.16367665159813696,0.01,2995452.1223125537,0.02,0,healthy
-0.03463304105718086,0.8127557501523339,0.8555732,-0.9307114,1.7862846000000001,0.8134933047902433,-0.011596647714746337,-1.9461829373702206,0.9564671468750001,0.3640558782334104,0.056467146875000096,0.7701419093290738,0.04778618353910285,0.9390985380319149,0.9737315790890958,0.722355725789971,0.0346330410571809,1630.3532597302383,0.32850740902329156,0.16425370451164578,0.01,2999301.1860371926,0.02,0,healthy
-0.03447646552526599,0.8123465306790426,0.8554727000000001,-0.9305295,1.7860022,0.8130778022928628,-0.011962325612479213,-1.9453832353368954,0.956544075099734,0.36389012980888846,0.056544075099734026,0.7697708716873971,0.04774807083372579,0.939253721542553,0.9737301870678191,0.7220228008536713,0.034476465525266065,1629.9328676983366,0.3275485732704269,0.16377428663521346,0.01,2996194.690564429,0.02,0,healthy
-0.0347813813164894,0.813193552983665,0.8557082999999999,-0.9308773999999999,1.7865856999999998,0.8139370363243583,-0.011191265780567098,-1.947048481665703,0.9563739157579788,0.3642359679663933,0.05637391575797879,0.7705403741968149,0.04782695576453616,0.938931168550532,0.9737125498670213,0.7227134184322788,0.034781381316489224,1630.79733177055,0.3295970720681797,0.16479853603408984,0.01,3002614.763996815,0.02,0,healthy
-0.03442762526595748,0.8123684787987686,0.8555489000000001,-0.9304807,1.7860296,0.8130976612481913,-0.011934145465769801,-1.945421397184818,0.9565107671210106,0.3638948283601239,0.05651076712101055,0.769786459994598,0.047755875555956465,0.9392448423204787,0.9736724675864361,0.7220305844386415,0.03442762526595744,1629.959679243138,0.32757900473457524,0.16378950236728762,0.01,2996325.565610464,0.02,0,healthy
-0.03493449734042551,0.8135244237215563,0.85575,-0.9310537000000001,1.7868037,0.8142741596636348,-0.010901324003008408,-1.947708061656459,0.9563258489029255,0.36437202899068954,0.05632584890292547,0.7708426076145423,0.047855167140035244,0.9388065496010637,0.9737410469414894,0.722987440474507,0.03493449734042575,1631.127243259355,0.3304245657996297,0.16521228289981485,0.01,3005146.333526576,0.02,0,healthy
-0.0344681295545213,0.8123601852224956,0.8554924,-0.9305182000000001,1.7860106,0.8130910911390646,-0.011946179931931835,-1.9454112037564306,0.9565412934507979,0.36389754766957677,0.056541293450797836,0.7697851165445034,0.047748211871039094,0.9392551143617021,0.9737232439162234,0.7220369046734644,0.03446812955452139,1629.946450811453,0.3275783772744197,0.16378918863720984,0.01,2996289.8544185567,0.02,0,healthy
-0.034510435372340414,0.8124439602551277,0.855502,-0.9305638999999999,1.7860658999999999,0.8131765851920627,-0.011870632659440552,-1.9455756547036847,0.9565305317154256,0.3639325251228097,0.05653053171542555,0.7698623604726019,0.04775460855936989,0.9392232064827127,0.9737336418550533,0.7221077519132321,0.03451043537234055,1630.0317323132638,0.32778409627631677,0.16389204813815839,0.01,2996932.060729456,0.02,0,healthy
-0.03451775748005317,0.8125818397163637,0.8555955,-0.9305771,1.7861726,0.813314651176457,-0.01173722902952335,-1.9458415777146532,0.9564801921542554,0.3639849021497463,0.05648019215425537,0.7699839503572411,0.04777208841976062,0.9391692199135637,0.9736869773936171,0.7222118619374804,0.03451775748005337,1630.177569220727,0.3280855435223466,0.1640427717611733,0.01,2997950.278052349,0.02,0,healthy
-0.03412503520611701,0.811484502227711,0.8552909000000001,-0.9301048,1.7853957,0.812201708557409,-0.012701873344448422,-1.9437165304247186,0.9566932747007979,0.3635422928344335,0.05669327470079788,0.7689917186567704,0.04766733533099784,0.9395786324135638,0.9737036676196809,0.7213243833257725,0.034125035206117094,1629.0302767615945,0.32565444101695284,0.16282722050847642,0.01,2989643.8658950636,0.02,0,healthy
